id,name,country
1,Muxo,China
2,Jaxnation,Philippines
3,Podcat,Colombia
4,Abatz,Croatia
5,Roodel,Nicaragua
6,Jetwire,Malaysia
7,Mita,China
8,Kamba,China
9,Youspan,China
10,Feedbug,Ukraine
11,Riffwire,Canada
12,Babblestorm,Indonesia
13,Realbuzz,Luxembourg
14,Meejo,Poland
15,Wikido,Paraguay
16,Gabspot,France
17,Jayo,Indonesia
18,Kamba,China
19,Livefish,Germany
20,Buzzster,Colombia
21,Mymm,Czech Republic
22,Dabshots,Russia
23,Twinte,Thailand
24,Trudeo,United States
25,Buzzbean,China
26,Thoughtworks,Brazil
27,Skyvu,Botswana
28,Roomm,China
29,Oyoba,Russia
30,Flashspan,Yemen
31,Ntags,Indonesia
32,Zooxo,China
33,Snaptags,Sweden
34,Leenti,China
35,Quatz,Indonesia
36,Brainverse,China
37,Gabtype,Ukraine
38,Aibox,Norway
39,Devcast,United States
40,Dynava,Greece
41,Trilia,China
42,Kazio,Greece
43,Leexo,Indonesia
44,Brightbean,Vietnam
45,Skidoo,Poland
46,Eare,Russia
47,Tagopia,Czech Republic
48,Gabspot,Iran
49,Vitz,Nigeria
50,Cogidoo,China
